CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,CALDAS,17433,MANZANARES,- 0,- 0,0.81,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
17,CALDAS,17495,NORCASIA,- 0,- 0,43.00,313.00,46.00,51.00,28.00,39.00,38.00,8.00,9.00,8.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
17,CALDAS,17541,PENSILVANIA,- 0,- 0,- 0,1.11,7.46,14.00,7.00,12.00,2.00,7.00,7.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
17,CALDAS,17662,SAMANÁ,- 0,- 0,9.90,41.00,132.00,380.00,21.00,136.00,127.00,30.00,30.00,8.00,8.00,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
17,CALDAS,17867,VICTORIA,- 0,- 0,- 0,2.97,4.00,16.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
18,CAQUETÁ,18029,ALBANIA,180.00,125.00,122.00,698.00,149.00,106.00,61.00,10.00,12.00,7.00,7.00,2.00,7.00,18.00,32.50,53.64,63.28,61.92,30.07,37.21,58.23,94.09
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,40.00,64.00,135.00,112.00,157.00,132.00,30.00,185.00,63.00,79.00,193.00,89.00,85.00,92.00,132.03,147.20,201.43,303.88,110.22,0,13.27,120.5
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,"5,930.52","3,989.00","1,990.00","1,203.00","1,836.00","1,674.00","1,916.00","1,374.00",781.00,603.00,409.00,456.00,703.00,"1,050.00",948.62,"1,187.95","1,369.17","1,006.74",416.26,251.71,304.36,433.88
18,CAQUETÁ,18205,CURILLO,754.10,581.00,202.00,252.00,253.00,265.00,283.00,44.00,114.00,125.00,69.00,188.00,208.00,259.00,459.51,368.15,471.31,342.83,227.55,110.42,257.19,344.65
18,CAQUETÁ,18247,EL DONCELLO,41.00,3.00,22.05,13.00,52.00,52.00,84.00,102.00,143.00,55.00,70.00,101.00,68.00,233.00,303.46,552.76,454.95,413.36,23.37,12.43,50.03,31.03
18,CAQUETÁ,18256,EL PAUJIL,149.00,3.00,12.35,30.00,29.00,32.00,88.00,39.00,66.00,31.00,112.00,99.00,114.00,240.00,267.63,415.85,951.65,704.08,147.38,54.38,157.00,208.28
18,CAQUETÁ,18001,FLORENCIA,- 0,24.00,69.00,90.00,6.00,4.00,19.00,14.00,10.00,9.00,105.00,31.00,25.00,31.00,52.84,98.39,218.40,267.99,58.18,12.34,41.84,25.87
18,CAQUETÁ,18460,MILÁN,525.88,172.00,321.00,348.00,255.00,414.00,532.00,174.00,217.00,181.00,290.00,251.00,359.00,530.00,695.74,"1,040.24","1,135.54","1,226.44",461.07,252.34,283.48,497.06
18,CAQUETÁ,18410,MONTAÑITA,568.63,201.00,535.00,188.00,316.00,292.00,637.00,315.00,267.00,239.00,409.00,649.00,816.00,"1,335.00","1,503.49","1,743.71","2,491.73","2,989.69",822.86,461.97,694.79,956.38
